"If the heart rate remains < 60/min, continue with CC + SI.","If heart rate remains < 60/min, continue CC + SI.",G0000000|C0018787|C0871208|G0000000|G0000000|C0549178|G0000000
"Of the 29 mothers interviewed, 8 were in the control group (29.6%), 10 were in the LNS 3‐month group (29.6%) and 11 in the LNS 6‐month group (40.7%).","Of 29 mothers interviewed, 8 control (29.6%), 10 LNS 3‐month (29.6%) 11 LNS 6‐month (40.7%).",G0000000|C0450371|C0026591|C0021822|G0000000|C0243148|C0450371|C0450371|C0023374|G0000000|C0450371|C0450371|C0023374|G0000000|C0450371
"Pentaglobin® therapy was commenced on the day of diagnosis of severe sepsis: 5 ml/kg per day Pentaglobin® (38 g/l IgG, 6 g/l IgM, and 6 g/l IgA) was infused over 6 hours and repeated for 3 consecutive days.","Pentaglobin® therapy commenced day diagnosis severe sepsis: 5 ml/kg day Pentaglobin® (38 g/l IgG, 6 g/l IgM, 6 g/l IgA) infused 6 hours repeated 3 consecutive days.",G0000000|C0039798|C3274784|C0332173|C0011900|C0205082|C0036690|G0000000|C1300574|C0332173|G0000000|C0450371|C0439294|G0000000|G0000000|C0439294|G0000000|G0000000|C0439294|C2825347|G0000000|G0000000|C0439227|C0205341|G0000000|C1707491|C0439228
"All children were given oral rehydration solution for three to six hours and then fed with full strength formula containing lactose or cows' milk, depending on age.12 13 14 Microbiological investigation was performed only if required for specific clinical reasons.","All children oral rehydration solution hours fed strength formula lactose cows' milk, depending age.12 13 14 Microbiological investigation performed required specific clinical reasons.",G0000000|C0008059|C0442027|C0034997|C0037633|C0439227|C0342895|C0237897|C0489829|C0022949|C3539595|C0026131|C0725813|C0001779|C0450371|C0450371|C0025953|C0220825|C0884358|C1514873|C0205369|C0205210|C0392360
Intravenous iron therapy is relatively inexpensive; 200 mg of iron sucrose costs around £15.,Intravenous iron therapy inexpensive; 200 iron sucrose costs £15.,C0348016|C0302583|C0039798|G0000000|C1442061|C0302583|C0038636|C0010186|G0000000
Do women who give birth after assisted reproductive technology (ART) have an increased risk of cancer compared with women who give birth without ART?,Do women birth assisted reproductive technology (ART) increased risk cancer compared women birth ART?,G0000000|C0043210|C0005615|C1269765|C0035150|C0039421|C0003826|C0205217|C0035647|C0006826|C1707455|C0043210|C0005615|C0003826
"All eligible patients were prescribed statins according to clinician preference, and then randomly assigned to two groups: n-3 group (3 g of ω-3 PUFA containing 1395 mg of EPA and 1125 mg of DHA per day, n=38) and placebo group (placebo, n=36).","All eligible patients prescribed statins clinician preference, randomly assigned groups: n-3 (3 ω-3 PUFA 1395 EPA 1125 DHA day, n=38) placebo (placebo, n=36).",G0000000|C1548635|C0030705|C0278329|C0360714|C0871685|C0558295|G0000000|C1516050|C0441833|C0369718|G0000000|G0000000|C0032615|G0000000|G0000000|G0000000|C0142831|C0332173|C0369718|C0032042|C0032042|C0369718
The authors alone are responsible for the content and writing of the paper.,The authors responsible content writing paper.,G0000000|C3812881|C1273518|C0423896|C0043266|C0030351
3Participants will start ER niacin administration after their week 24 visit.,3Participants start ER niacin administration week 24 visit.,G0000000|C0439659|C3810541|C0027996|C0001554|C0332174|C0450371|C0545082
Patients with a clinical diagnosis of Buruli ulcer were administered rifampin (10 mg/kg)-streptomycin (15 mg/kg) for 2 weeks followed by rifampin and clarithromycin (7.5 mg/kg) for 6 weeks (RS2RC6).,Patients clinical diagnosis Buruli ulcer administered rifampin (10 mg/kg)-streptomycin (15 mg/kg) 2 weeks rifampin clarithromycin (7.5 mg/kg) 6 weeks (RS2RC6).,C0030705|C0205210|C0011900|G0000000|C0041582|C1521801|C0035608|C0450371|C0439272|C0450371|C0439272|G0000000|C0439230|C0035608|C0055856|G0000000|C0439272|G0000000|C0439230|G0000000
"The lower limb intervention group will receive an exercise intervention designed to prevent falls, enhance mobility and increase physical activity.","The lower limb intervention receive exercise intervention designed prevent falls, enhance mobility increase physical activity.",G0000000|C0441994|C0015385|C0886296|C1514756|C0015259|C0886296|C1707689|C0309872|C0000921|C2349975|C0425245|C0442805|C0031809|C0205177
"Percentage (%) of patients using CPAP or BiFlex therapy ≥4 h/day at the conclusion of phase 2 (left bars), and percent increase in therapy daily use from the completion of phase 1 to the completion of phase 2 for patients assigned to CPAP or BiFlex (right bars).","Percentage (%) patients CPAP BiFlex therapy ≥4 h/day conclusion phase 2 (left bars), percent increase therapy daily completion phase 1 completion phase 2 patients assigned CPAP BiFlex (right bars).",C0439165|G0000000|C0030705|C0199451|G0000000|C0039798|G0000000|C0033727|C1707478|C0205390|G0000000|C0205091|C1707156|C0439165|C0442805|C0039798|C0332173|C0205197|C0205390|G0000000|C0205197|C0205390|G0000000|C0030705|C1516050|C0199451|G0000000|C0205090|C1707156
Each control period was followed by a matched intervention period during which site staff handed out state-specific SCHIP applications to the parent or guardian of participating children.,Each control period matched intervention period site staff handed state-specific SCHIP applications parent guardian participating children.,G0000000|C0243148|C0439531|C0150103|C0886296|C0439531|C0205145|C0851286|C0018563|C1301808|G0000000|C0185125|C0030551|C0023226|C0679823|C0008059
Familias Unidas was specifically designed for Hispanic families and consists of 8 parent-only group sessions and 4 family sessions with the adolescent.,Familias Unidas designed Hispanic families consists 8 parent-only sessions 4 family sessions adolescent.,G0000000|G0000000|C1707689|C0086409|C0015576|C0332529|G0000000|C0030551|C1883016|G0000000|C0015576|C1883016|C0205653
The sham points in the control group.,The sham control group.,G0000000|C0068899|C0243148|C0441833
The simultaneous application of prophylactic enoxaparin started on day 1 of chemotherapy with a fixed dose of 40 mg daily.,The simultaneous application prophylactic enoxaparin started day 1 chemotherapy fixed dose 40 daily.,G0000000|C0205420|C0185125|C0355642|C0206460|C1272689|C0332173|G0000000|C0013216|C0443218|C0178602|C0450371|C0332173
"Besides usual physical activity, participants in the Baduanjin exercise group will accept a 12-week Baduanjin exercise training with a frequency of five days a week and 40 minutes a day.","Besides usual physical activity, participants Baduanjin exercise accept 12-week Baduanjin exercise training frequency days week 40 minutes day.",G0000000|C3538928|C0031809|C0205177|C0679646|G0000000|C0015259|C1272684|C0450371|G0000000|C0015259|C0040607|C0376249|C0439228|C0332174|C0450371|C0439232|C0332173
"The formulation of the BIO K+ CL1285® lactobacilli fermented milk was a combination of 50 × 109 colony forming units of L. acidophilus CL1285® and L. casei (BIO K+ CL1285®, BIO K+ International Inc., Canada).","The formulation BIO K+ CL1285® lactobacilli fermented milk combination 50 × 109 colony forming units L. acidophilus CL1285® L. casei (BIO K+ CL1285®, BIO K+ International Inc., Canada).",G0000000|C0524527|C3844595|C0597277|G0000000|C0022938|G0000000|C0026131|C0205195|C0450371|G0000000|C1442061|C0439158|C0205431|C0439148|C0439394|C0718215|G0000000|C0439394|G0000000|C3844595|C0597277|G0000000|C3844595|C0597277|C1512888|G0000000|C0006823
The intensity was increased by the therapist or patient according to tolerance.,The intensity increased therapist patient tolerance.,G0000000|C0522510|C0205217|C0871525|C0030705|C0013220
"infusion at the dose of 1000 mg m−2 once per week for 7 weeks, followed by 2 weeks of rest.","infusion dose 1000 mg m−2 week 7 weeks, 2 weeks rest.",C0574032|C0178602|G0000000|C0332174|G0000000|C0439230|G0000000|C0439230|C0035253
"In the nabiximols group, average doses ranged from 4.1 to 12.8 sprays/day (11.0 THC/10.2 mg CBD to 34.5 THC/31.9 mg CBD).","In nabiximols group, average doses ranged 4.1 12.8 sprays/day (11.0 THC/10.2 CBD 34.5 THC/31.9 CBD).",G0000000|C2347556|C0441833|C1510992|C0178602|C1514721|G0000000|C0450371|C0233601|C0450371|C0039663|C0006863|C0450371|C0039663|C0006863
Participants will be given the choice of having home visits or coming into a local hospital-based Clinical Research Facility.,Participants choice visits coming local hospital-based Clinical Research Facility.,C0679646|C0008300|C0545082|G0000000|C0205276|C0019994|C0205210|C0035168|C1547538
"Each child received 16 weeks of treatment with montelukast (Singulair; Merck Co., Whitehouse Station, NJ) or placebo tablets.","Each child received 16 weeks treatment montelukast (Singulair; Merck Co., Whitehouse Station, NJ) placebo tablets.",G0000000|C0008059|C1514756|C0450371|C0439230|C0039798|C0298130|C0595724|G0000000|C3245499|G0000000|C1883167|C0027971|C0032042|C0039225
Participants receiving weekly support had an additional telephone call at 10 days and 3 weeks after the initial appointment and an additional visit at 2 weeks to motivate adherence to nicotine replacement and renew quit attempts.,Participants receiving weekly support additional telephone call 10 days 3 weeks initial appointment additional visit 2 weeks motivate adherence nicotine replacement renew quit attempts.,C0679646|C1514756|C0332174|C0183683|C1524062|C0039457|C0679006|G0000000|G0000000|C0205265|C0003629|C1524062|C0545082|G0000000|G0000000|C1510802|C0028040|C0035139|G0000000|C0748223|C1516084
"Subsequent oral dose adjustments were based on the patient's estimated creatinine clearance rate as follows: > 80 ml/min, 800 mg 4 times daily; 50–79 ml/min, 800 mg 3 times daily; 10–50 ml/min, 800 mg twice daily; and < 10 ml/min, 800 mg once daily.","Subsequent oral dose adjustments based patient's estimated creatinine clearance rate follows: > 80 ml/min, 800 4 times daily; 50–79 ml/min, 800 3 times daily; 10–50 ml/min, 800 daily; < 10 ml/min, 800 daily.",C0332282|C0442027|C0178602|C0376209|C1527178|C0030705|C0750572|C0010294|C0449297|C0871208|C0332283|G0000000|C0450371|C0439445|C1442061|G0000000|C0040223|C0332173|G0000000|C0439445|C1442061|G0000000|C0040223|C0332173|G0000000|C0439445|C1442061|C0332173|G0000000|C0450371|C0439445|C1442061|C0332173
"Rescue medication, defined as any medication, including platelet transfusions, administered to raise platelet counts, was given only when a patient was at immediate risk.","Rescue medication, defined medication, including platelet transfusions, administered raise platelet counts, patient risk.",G0000000|C0013227|C1704788|C0013227|C0332257|C0005821|C0005841|C1521801|G0000000|C0005821|C0439157|C0030705|C0035647
The control group received 1 mg/kg ketorolac intravenously within 15 minutes of case completion.,The control received 1 mg/kg ketorolac intravenously 15 minutes completion.,G0000000|C0243148|C1514756|G0000000|C0439272|C0073631|G0000000|C0450371|C0439232|C0205197
Pamphlets were mailed to mothers when their child was 6 months of age and again at 18 months of age.,Pamphlets mailed mothers child 6 months age 18 months age.,C0030258|C0024492|C0026591|C0008059|G0000000|C0439231|C0001779|C0450371|C0439231|C0001779
"A scheme represents which exercises should be performed by the patient for which day, and which part of the day.","A scheme represents exercises performed patient day, day.",G0000000|C1519193|C1882932|C0015259|C0884358|C0030705|C0332173|C0332173
"In this trial, weekly support supplemented basic support with an additional visit at 14 days and additional calls at 10 and 21 days.","In trial, weekly support supplemented basic support additional visit 14 days additional calls 10 21 days.",G0000000|C0008976|C0332174|C0183683|C0242295|C1527178|C0183683|C1524062|C0545082|G0000000|C1524062|C0679006|C0450371|G0000000
"To assess adherence to the Familias Unidas intervention, raters evaluated all videotaped group sessions and 25% of the family sessions on a 7-point scale.","To assess adherence Familias Unidas intervention, raters evaluated videotaped sessions 25% family sessions 7-point scale.",C0040363|C1516048|C1510802|G0000000|G0000000|C0886296|G0000000|C0220825|C0042655|C1883016|C0450371|C0015576|C1883016|C1552961|C0175659
"Both the CJ and PLA were consumed in two doses each day; 200 mL before morning training, and 400 mL in the evening post-training.","Both CJ PLA consumed doses day; 200 mL morning training, 400 mL evening post-training.",G0000000|C0007481|G0000000|G0000000|C0178602|C0332173|C1442061|C0439526|C0332170|C0040607|C1442061|C0439526|C0587117|C1709607
The content of the individual physiotherapy sessions was based on neurodevelopmental treatment for motor recovery13).,The content individual physiotherapy sessions based neurodevelopmental treatment motor recovery13).,G0000000|C0423896|C0027361|C0949766|C1883016|C1527178|C0599855|C0039798|C1513492|G0000000
"Intervention Adults received four capsules of borage oil twice daily (920 mg γ linolenic acid), and children received two capsules twice daily, for 12 weeks.","Intervention Adults received capsules borage oil daily (920 γ linolenic acid), children received capsules daily, 12 weeks.",C0886296|C0001675|C1514756|C0006935|C0522464|C0028908|C0332173|C1442061|G0000000|G0000000|C0001128|C0008059|C1514756|C0006935|C0332173|C0450371|C0439230
