"After October 2004, an aromatase inhibitor was allowed.","After October 2004, aromatase inhibitor allowed.",G0000000|C3828732|G0000000|C0003805|C1999216|C0683607
"For instance, in rectal and breast cancer, neo-adjuvant chemotherapy has been associated with response of the tumor and a lower number of lymph nodes found in the specimen [18].","For instance, rectal breast cancer, neo-adjuvant chemotherapy response tumor lower lymph nodes specimen [18].",G0000000|C1550608|C0205052|C0006141|C0006826|C1366752|C0013216|C0871261|C0027651|C0441994|C0024202|C0746922|C0370003|C0450371
"Anderson Symptom Inventory; BFI, Brief Fatigue Inventory; PA Level, Physical Activity Level.","Anderson Symptom Inventory; BFI, Brief Fatigue Inventory; PA Level, Physical Activity Level.",G0000000|C1457887|C0021941|C2698562|C1282927|C0015672|C0021941|C0030428|C0441889|C0031809|C0205177|C0441889
There were no complete responses observed in this study.,There complete responses observed study.,G0000000|C0205197|C0871261|C1441672|C0557651
"High-dose granulocyte transfusion therapy has been available for 20 years, yet its clinical efficacy has never been conclusively demonstrated.","High-dose granulocyte transfusion therapy 20 years, clinical efficacy conclusively demonstrated.",C0444956|C0018183|C0005841|C0039798|C0450371|C0439234|C0205210|C1280519|G0000000|G0000000
"Patients underwent radiation with concurrent temozolomide 75 mg/m2 daily for 6 weeks (termed the “induction” phase), followed by 4 to 6 weeks of rest (termed the “rest” phase), and then temozolomide “maintenance” for 12 cycles dosed at 150mg/m2/dayondays 1 to 5 of the first 28-day cycle, and if well tolerated, dosed at 200 mg/m2/day on days 1 to 5 of each subsequent 28-day cycle.","Patients underwent radiation concurrent temozolomide 75 mg/m2 daily 6 weeks (termed “induction” phase), 4 6 weeks rest (termed “rest” phase), temozolomide “maintenance” 12 cycles dosed 150mg/m2/dayondays 1 5 28-day cycle, tolerated, dosed 200 mg/m2/day days 1 5 subsequent 28-day cycle.",C0030705|G0000000|C0034519|C0205420|C0076080|C0450371|C0026410|C0332173|G0000000|C0439230|C0233324|G0000000|C0205390|G0000000|G0000000|C0439230|C0035253|C0233324|G0000000|C0205390|C0076080|G0000000|C0450371|C1511572|C0178602|C0025885|G0000000|G0000000|C0450371|C1511572|G0000000|C0178602|C1442061|C0439422|C0439228|G0000000|G0000000|C0332282|C0450371|C1511572
The inability of CDC light traps and pyrethrum spray knockdown to capture An.,The inability CDC light traps pyrethrum spray knockdown capture An.,G0000000|G0000000|C0007670|C0023693|C0184047|C0034246|C1704413|G0000000|G0000000|G0000000
Celecoxib (200 mg twice daily for two years) can prevent and treat gastric cancer in Chinese population.,Celecoxib (200 daily years) prevent treat gastric cancer Chinese population.,C0538927|C1442061|C0332173|C0439234|C0309872|C0087111|C0038351|C0006826|C0008120|C0032659
The number of deaths observed during follow-up is shown in Table 6.,The deaths observed follow-up Table 6.,G0000000|C0011065|C1441672|C0589120|C0039224|G0000000
"They also had to report at least mild pain on one of the weight-bearing questions of the Western Ontario and McMaster Universities (WOMAC) pain subscale17, and have knee pain or discomfort referable to the knee joint confirmed on a physical examination.","They report mild pain weight-bearing questions Western Ontario McMaster Universities (WOMAC) pain subscale17, knee pain discomfort referable knee joint confirmed physical examination.",G0000000|C0684224|C2945599|C0030193|C0085086|C1522634|C1705493|C0029040|G0000000|C0041740|G0000000|C0030193|G0000000|C0022742|C0030193|C0231218|G0000000|C0022742|C0022417|C0521093|C0031809|G0000000
Data from 854 incident cases and 948 controls were analyzed in a case-control study of colorectal cancer in Western Australia during 2005–07.,Data 854 incident 948 controls analyzed case-control study colorectal cancer Western Australia 2005–07.,C1511726|C1442061|C1551358|C1442061|C0243148|C0936012|C0872128|C0557651|C0555952|C0006826|C1705493|C0004340|G0000000
"Abbreviations: CGI-BP-IM, Clinical Global Impressions for Bipolar Illness Improvement–Mania; qHS, every night at bedtime; TEAM, Treatment of Early Age Mania.","Abbreviations: CGI-BP-IM, Clinical Global Impressions Bipolar Illness Improvement–Mania; qHS, night bedtime; TEAM, Treatment Early Age Mania.",C0000723|C3639708|C0205210|C0205246|C0596764|C0443156|C0221423|G0000000|C1275563|C0240526|C0521112|C0871489|C0039798|C1279919|C0001779|C0338831
Mothers showed higher occurrences of EOI; 34 (43.6%) had EOI ratings >0 compared to 15 (21.7%) of the fathers.,Mothers occurrences EOI; 34 (43.6%) EOI ratings >0 compared 15 (21.7%) fathers.,C0026591|C2745955|C2810863|C0450371|C0450371|C2810863|C0871208|G0000000|C1707455|C0450371|C0450371|C0015671
"A single oral dose of azithromycin was given at 20 mg/kg body weight, up to 1 g. Pregnant women and infants under the age of 6 months were instead offered tetracycline eye ointment for daily use for up to 6 weeks.","A single oral dose azithromycin 20 mg/kg body weight, 1 g. Pregnant women infants age 6 months offered tetracycline eye ointment daily 6 weeks.",G0000000|C0037179|C0442027|C0178602|C0052796|C0450371|C0439272|C0242821|C0005910|G0000000|C0439267|C0549206|C0043210|C0021270|C0001779|G0000000|C0439231|C1444648|C0039644|C0015392|C0028912|C0332173|G0000000|C0439230
We calculated the required sample size from the previously published study using the breast cancer survivors during and after adjuvant therapy as the primary outcome on 450 subjects.,We calculated required sample size published study breast cancer survivors adjuvant therapy primary outcome 450 subjects.,G0000000|C0444686|C1514873|C0370003|C0456389|C0034037|C0557651|C0006141|C0006826|C0206194|C0001551|C0039798|C0205225|C1274040|C1442061|C0681850
"Disease assessment (measurement of all tumor lesions) was performed by CT scan before receiving therapy, every three cycles, at the end of treatment and every three months during the follow-up period.","Disease assessment (measurement tumor lesions) performed CT scan receiving therapy, cycles, treatment months follow-up period.",C0012634|C1261322|C0242485|C0027651|C0221198|C0884358|C0007673|C0034606|C1514756|C0039798|C1511572|C0039798|C0439231|C0589120|C0439531
"Moreover, most of the studies showed the effects of only 1 type of exercise therapy such as walking exercise to increase aerobic capacity or shoulder stretching exercises to improve shoulder mobility and activities of daily living.","Moreover, studies effects 1 type exercise therapy walking exercise increase aerobic capacity shoulder stretching exercises improve shoulder mobility activities daily living.",G0000000|C0947630|C1280500|G0000000|C0332307|C0015259|C0039798|C0080331|C0015259|C0442805|C1510824|C1516240|C0037004|C0600080|C0015259|G0000000|C0037004|C0425245|C0441655|C0332173|C0376558
"First of all, the patients made up their mind as to the treatment modality.","First all, patients mind treatment modality.",C0205435|G0000000|C0030705|C0229992|C0039798|C0695347
"Hazard ratios were adjusted for age, sex, comorbidities, respiratory co-infection, virus type, and influenza season.","Hazard ratios adjusted age, sex, comorbidities, respiratory co-infection, virus type, influenza season.",C0598697|C0456603|C0456081|C0001779|C0009253|C0009488|C0521346|C0275524|C0042776|C0332307|C0021400|C0036497
"Participation was non-discriminative, since every student was allowed to participate irrespective of their background, BMI or sex.","Participation non-discriminative, student allowed participate irrespective background, BMI sex.",C0679823|C1518422|C0038492|C0683607|G0000000|G0000000|C1706907|G0000000|C0009253
Clinical follow up and electroencephalography for evidence of epilepsy.,Clinical follow electroencephalography evidence epilepsy.,C0205210|C0332283|C0013819|C3887511|C0014544
The intent-to-treat analysis included all registered and randomly assigned patients (eligible and ineligible).,The intent-to-treat analysis included registered randomly assigned patients (eligible ineligible).,G0000000|C0162425|C0002778|C0332257|C1514821|G0000000|C1516050|C0030705|C1548635|C1512714
"During the study period, influenza A(H1N1)pdm09 virus was the dominant influenza virus in Japan according to the Infectious Agent Surveillance Report in Japan [17].","During study period, influenza A(H1N1)pdm09 virus dominant influenza virus Japan Infectious Agent Surveillance Report Japan [17].",G0000000|C0557651|C0439531|C0021400|G0000000|C0042776|C1527180|C0021400|C0042776|C0022341|C0009450|C0450442|C0220920|C0684224|C0022341|C0450371
"The median OS (ITT) was 8.6 months (95% CI, 6.1 to 12.2) with DI and 9.4 months (95% CI, 7.7 to 11.0) with DF.","The median OS (ITT) 8.6 months (95% CI, 6.1 12.2) DI 9.4 months (95% CI, 7.7 11.0) DF.",G0000000|C0549183|C0229090|G0000000|G0000000|C0439231|C0450371|C0008107|G0000000|C0450371|C3538902|G0000000|C0439231|C0450371|C0008107|G0000000|C0450371|G0000000
"There were differences with regard to the EORTC QLQ-C30 subscales global health status, physical functioning, role functioning, social functioning, fatigue, nausea and vomiting, pain, dyspnoea, appetite loss, constipation and diarrhoea (mean differences=3–13, P<0.001 to <0.05), and with regard to the HAD Depression subscale (means=5.1 and 3.5, P<0.001).","There differences regard EORTC QLQ-C30 subscales global health status, physical functioning, role functioning, social functioning, fatigue, nausea vomiting, pain, dyspnoea, appetite loss, constipation diarrhoea (mean differences=3–13, P<0.001 <0.05), regard HAD Depression subscale (means=5.1 3.5, P<0.001).",G0000000|C1705241|G0000000|C1516985|G0000000|G0000000|C0205246|C0018684|C0449438|C0031809|C0205245|C0035820|C0205245|C0728831|C0205245|C0015672|C0027497|C0042963|C0030193|C0013404|C0003618|C1517945|C0009806|C0011991|C0444504|G0000000|C0369773|C0450371|G0000000|G0000000|C0011570|G0000000|C1704970|G0000000|C0369773
"Payment information was available for a subset of providers, primarily hospitals.","Payment subset providers, hospitals.",C0220808|C1515021|C1138603|C0019994
"If remission is achieved at week 4, study subjects will receive 2.5 mg/kg levamisole or placebo on alternate days for a total of 24 weeks (figure 1).","If remission achieved week 4, study subjects receive 2.5 mg/kg levamisole placebo alternate days total 24 weeks (figure 1).",G0000000|C0544452|G0000000|C0332174|G0000000|C0557651|C0681850|C1514756|G0000000|C0023556|C0032042|C0332270|C0439228|C0439175|C0450371|C0439230|G0000000|G0000000
Pill counts and determination of elixir volumes were performed at GCRC admissions to assess compliance.,Pill counts determination elixir volumes performed GCRC admissions assess compliance.,C0009905|C0439157|C1148554|C0678430|C0449468|C0884358|G0000000|C0184666|C1516048|C0009563
This may have affected our CIN 2/3 efficacy results in the ‘HPV-naive population' with respect to non-vaccine HPV types.,This CIN 2/3 efficacy ‘HPV-naive population' respect non-vaccine HPV types.,G0000000|G0000000|G0000000|C1280519|G0000000|C0032659|C0679133|C1518422|C0021344|C0332307
"It also describes how (style) mothers feed their infants (authoritative, authoritarian, permissive, uninvolved) [99-101].","It describes (style) mothers feed infants (authoritative, authoritarian, permissive, uninvolved) [99-101].",G0000000|G0000000|C0489654|C0026591|C0204695|C0021270|C1706860|G0000000|C0031166|C0205429|C0450371
*Three patients with pancreatic cancer were initially treated with gemcitabine plus huachansu to observe for safety of the combination.,*Three patients pancreatic cancer initially treated gemcitabine huachansu observe safety combination.,C0205449|C0030705|C0030274|C0006826|C0205265|C1522326|C0045093|C2745673|C1441672|C0036043|C0205195
The weight gain associated with wearing earplugs at 34 weeks was greater in newborns >1000 g birth weight than in ELBW newborns.,The weight gain wearing earplugs 34 weeks newborns >1000 birth weight ELBW newborns.,G0000000|C0005910|C1517378|G0000000|C1135964|C0450371|C0439230|C0021289|G0000000|C0005615|C0005910|C0456065|C0021289
"An independent radiology review committee was established to provide a sensitivity assessment of objective responses, and a data monitoring committee provided general oversight and safety considerations.","An independent radiology review committee established provide sensitivity assessment objective responses, data monitoring committee provided oversight safety considerations.",G0000000|C0085862|C0034599|C0282443|C2699414|C0443211|C1999230|C0020517|C1261322|C0018017|C0871261|C1511726|C0150369|C2699414|C1999230|C1273870|C0036043|C0518609
"Low levels of parental monitoring have been linked to a broad range of problem adolescent behaviors,12–18 including poor diabetes care.","Low levels parental monitoring linked broad range adolescent behaviors,12–18 including poor diabetes care.",C0205251|C0441889|C0030551|C0150369|C1517892|C0332464|C1514721|C0205653|G0000000|C0332257|C0032854|C0011847|C1947933
